sales_record_id,order_id,customer_id,product_key,order_date,ship_date,ship_mode,market,region,quantity,sales,discount,profit,shipping_cost,order_priority,year
31,ES-2011-4939443,20,31,2011-01-04,2011-01-08,Standard Class,EU,Central,3,140.0,0.0,20.88,10.78,Medium,2011
32,MX-2011-111255,17,32,2011-01-04,2011-01-09,Second Class,LATAM,South,8,149.0,0.0,28.16,10.38,Medium,2011
33,MX-2011-140641,18,33,2011-01-04,2011-01-09,Standard Class,LATAM,North,2,166.0,0.002,49.42824,9.54,High,2011
34,US-2011-136007,19,34,2011-01-04,2011-01-11,Standard Class,LATAM,South,6,74.0,0.6,-107.856,7.04,Medium,2011
35,MX-2011-159373,21,35,2011-01-04,2011-01-08,Standard Class,LATAM,Caribbean,1,38.0,0.0,6.88,4.25,Medium,2011
36,MX-2011-159373,21,36,2011-01-04,2011-01-08,Standard Class,LATAM,Caribbean,2,38.0,0.0,2.24,3.94,Medium,2011
37,MX-2011-159373,21,37,2011-01-04,2011-01-08,Standard Class,LATAM,Caribbean,3,39.0,0.0,7.68,3.51,Medium,2011
38,IT-2011-2942451,22,38,2011-01-04,2011-01-09,Standard Class,EU,North,2,27.0,0.5,-21.9,2.11,Medium,2011
39,CA-2011-103800,23,39,2011-01-04,2011-01-08,Standard Class,US,Central,2,16.0,0.2,5.5512,1.82,High,2011
40,IN-2011-33036,24,40,2011-01-04,2011-01-08,Standard Class,APAC,North Asia,3,27.0,0.0,13.68,1.54,Medium,2011
41,IT-2011-2942451,22,41,2011-01-04,2011-01-09,Standard Class,EU,North,2,17.0,0.5,-1.05,0.9,Medium,2011
42,SU-2011-5190,25,42,2011-01-04,2011-01-08,Standard Class,Africa,Africa,1,15.0,0.0,2.61,0.82,Medium,2011
43,SU-2011-5190,25,43,2011-01-04,2011-01-08,Standard Class,Africa,Africa,1,6.0,0.0,2.1,0.51,Medium,2011
44,MX-2011-109267,26,44,2011-01-05,2011-01-09,Standard Class,LATAM,North,8,,0.0,999.36,191.2,Medium,2011
45,ES-2011-3848439,27,45,2011-01-05,2011-01-07,First Class,EU,Central,4,207.0,0.0,76.56,20.64,Medium,2011
46,ES-2011-3848439,27,46,2011-01-05,2011-01-07,First Class,EU,Central,3,90.0,0.0,20.52,15.27,Medium,2011
47,CA-2011-112326,28,47,2011-01-05,2011-01-09,Standard Class,US,Central,3,273.0,0.2,-64.7748,13.59,High,2011
48,IN-2011-27681,29,48,2011-01-05,2011-01-11,Standard Class,APAC,North Asia,1,49.0,0.0,22.92,5.82,Low,2011
49,CA-2011-112326,28,49,2011-01-05,2011-01-09,Standard Class,US,Central,3,12.0,0.2,4.2717,0.99,High,2011
50,CA-2011-112326,28,50,2011-01-05,2011-01-09,Standard Class,US,Central,2,4.0,0.8,-5.487,0.55,High,2011
51,ES-2011-5496179,30,51,2011-01-06,2011-01-09,Second Class,EU,Central,3,324.0,0.0,35.64,39.98,High,2011
52,IN-2011-29963,31,52,2011-01-06,2011-01-10,Standard Class,APAC,Southeast Asia,3,50.0,0.17,6.0084,6.2,High,2011
53,ID-2011-41632,32,53,2011-01-06,2011-01-13,Standard Class,APAC,Southeast Asia,2,90.0,0.17,29.2686,3.62,Medium,2011
54,IN-2011-29963,31,54,2011-01-06,2011-01-10,Standard Class,APAC,Southeast Asia,7,41.0,0.47,-27.0942,2.63,High,2011
55,ID-2011-41632,32,55,2011-01-06,2011-01-13,Standard Class,APAC,Southeast Asia,3,39.0,0.17,11.5893,2.45,Medium,2011
56,AO-2011-4910,33,56,2011-01-06,2011-01-11,Standard Class,Africa,Africa,1,28.0,0.0,12.72,2.0,Medium,2011
57,IN-2011-76107,34,57,2011-01-06,2011-01-10,Standard Class,APAC,North Asia,1,31.0,0.0,13.11,1.96,High,2011
58,CA-2011-141817,35,58,2011-01-06,2011-01-13,Standard Class,US,East,3,20.0,0.2,4.884,1.85,Low,2011
59,CA-2011-167199,36,59,2011-01-07,2011-01-11,Standard Class,US,South,9,,0.0,746.4078,258.99,High,2011
60,CA-2011-167199,36,60,2011-01-07,2011-01-11,Standard Class,US,South,2,610.0,0.0,274.491,88.07,High,2011
61,CA-2011-167199,36,61,2011-01-07,2011-01-11,Standard Class,US,South,2,392.0,0.0,113.6742,62.37,High,2011
62,MZ-2011-1260,12,62,2011-01-07,2011-01-10,First Class,Africa,Africa,2,256.0,0.0,46.02,52.46,High,2011
63,ID-2011-58670,37,63,2011-01-07,2011-01-11,Standard Class,APAC,Southeast Asia,7,445.0,0.25,-136.71,46.97,High,2011
64,ID-2011-58670,37,64,2011-01-07,2011-01-11,Standard Class,APAC,Southeast Asia,2,274.0,0.45,-44.838,42.19,High,2011
65,ES-2011-5433855,38,65,2011-01-07,2011-01-08,First Class,EU,Central,4,716.0,0.1,143.16,32.46,Medium,2011
66,ID-2011-58670,37,66,2011-01-07,2011-01-11,Standard Class,APAC,Southeast Asia,3,388.0,0.25,25.8075,26.2,High,2011
67,LE-2011-9590,39,67,2011-01-07,2011-01-11,Standard Class,EMEA,EMEA,1,174.0,0.0,71.46,23.84,High,2011
68,CA-2011-167199,36,68,2011-01-07,2011-01-11,Standard Class,US,South,4,756.0,0.0,204.1092,13.82,High,2011
69,MZ-2011-1260,12,69,2011-01-07,2011-01-10,First Class,Africa,Africa,1,45.0,0.0,8.49,13.7,High,2011
70,ES-2011-5433855,38,70,2011-01-07,2011-01-08,First Class,EU,Central,3,33.0,0.0,2.25,9.73,Medium,2011
71,ES-2011-5433855,38,71,2011-01-07,2011-01-08,First Class,EU,Central,1,155.0,0.1,36.228,5.72,Medium,2011
72,CA-2011-130813,40,72,2011-01-07,2011-01-09,Second Class,US,West,3,19.0,0.0,9.3312,4.37,High,2011
73,AG-2011-7230,41,73,2011-01-07,2011-01-11,Standard Class,Africa,Africa,2,91.0,0.0,14.58,4.36,Medium,2011
74,MX-2011-135629,10,74,2011-01-07,2011-01-07,Same Day,LATAM,South,4,43.0,0.0,6.0,3.94,High,2011
75,MX-2011-135629,10,75,2011-01-07,2011-01-07,Same Day,LATAM,South,3,19.0,0.0,2.4,3.69,High,2011
76,CA-2011-106054,42,76,2011-01-07,2011-01-08,First Class,US,South,3,13.0,0.0,5.2398,3.51,Critical,2011
77,ID-2011-58670,37,77,2011-01-07,2011-01-11,Standard Class,APAC,Southeast Asia,1,27.0,0.45,-4.494,3.21,High,2011
78,LE-2011-9590,39,78,2011-01-07,2011-01-11,Standard Class,EMEA,EMEA,1,26.0,0.0,7.38,2.88,High,2011
79,CA-2011-167199,36,79,2011-01-07,2011-01-11,Standard Class,US,South,4,31.0,0.0,0.3112,2.19,High,2011
80,CA-2011-167199,36,80,2011-01-07,2011-01-11,Standard Class,US,South,1,7.0,0.0,3.0084,1.13,High,2011
81,ID-2011-28752,43,81,2011-01-07,2011-01-12,Standard Class,APAC,Southeast Asia,2,18.0,0.0,5.46,0.89,Medium,2011
82,CA-2011-167199,36,82,2011-01-07,2011-01-11,Standard Class,US,South,2,5.0,0.0,1.4796,0.52,High,2011
83,IT-2011-5134922,44,83,2011-01-07,2011-01-10,First Class,EU,Central,1,5.0,0.5,-0.105,0.28,Medium,2011
84,AO-2011-1670,45,84,2011-01-08,2011-01-13,Standard Class,Africa,Africa,6,,0.0,49.5,349.87,High,2011
85,IN-2011-19330,46,85,2011-01-08,2011-01-12,Second Class,APAC,North Asia,7,,0.0,260.82,275.52,Medium,2011
86,IT-2011-4546695,23,86,2011-01-08,2011-01-14,Standard Class,EU,Central,6,987.0,0.6,-1011.636,65.64,Medium,2011
87,MX-2011-121202,47,87,2011-01-08,2011-01-13,Second Class,LATAM,Central,3,397.0,0.0,182.52,33.67,Medium,2011
88,CA-2011-105417,48,88,2011-01-08,2011-01-13,Standard Class,US,Central,3,77.0,0.6,-53.7096,6.69,Medium,2011
89,MX-2011-121202,47,89,2011-01-08,2011-01-13,Second Class,LATAM,Central,7,50.0,0.0,20.3,5.66,Medium,2011
90,IT-2011-4546695,23,90,2011-01-08,2011-01-14,Standard Class,EU,Central,5,116.0,0.5,-55.65,3.91,Medium,2011
91,NI-2011-4770,49,91,2011-01-08,2011-01-11,Second Class,Africa,Africa,2,5.0,0.7,-4.542,0.82,High,2011
92,CA-2011-105417,48,92,2011-01-08,2011-01-13,Standard Class,US,Central,7,10.0,0.8,-18.2525,0.63,Medium,2011
93,ID-2011-20814,50,93,2011-01-09,2011-01-13,Standard Class,APAC,Southeast Asia,2,240.0,0.17,-11.6028,34.99,High,2011
94,IN-2011-69366,51,94,2011-01-09,2011-01-14,Standard Class,APAC,Southeast Asia,6,177.0,0.47,-156.6792,17.09,Medium,2011
95,ID-2011-46483,52,95,2011-01-09,2011-01-13,Standard Class,APAC,Southeast Asia,5,158.0,0.45,-2.9775,10.08,High,2011
96,IN-2011-69366,51,96,2011-01-09,2011-01-14,Standard Class,APAC,Southeast Asia,2,124.0,0.17,32.793,7.93,Medium,2011
97,ID-2011-46483,52,97,2011-01-09,2011-01-13,Standard Class,APAC,Southeast Asia,7,52.0,0.45,4.5885,5.55,High,2011
98,IN-2011-69366,51,98,2011-01-09,2011-01-14,Standard Class,APAC,Southeast Asia,5,45.0,0.17,17.8935,3.31,Medium,2011
99,ID-2011-46483,52,99,2011-01-09,2011-01-13,Standard Class,APAC,Southeast Asia,1,9.0,0.45,-1.7175,0.69,High,2011
100,IN-2011-69366,51,100,2011-01-09,2011-01-14,Standard Class,APAC,Southeast Asia,2,10.0,0.17,0.0714,0.25,Medium,2011
101,IN-2011-61302,53,101,2011-01-10,2011-01-11,First Class,APAC,Oceania,5,,0.1,511.095,665.27,Medium,2011
102,HU-2011-1380,54,102,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,1,363.0,0.0,159.87,134.59,Critical,2011
103,HU-2011-1380,54,103,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,4,589.0,0.0,276.6,114.15,Critical,2011
104,EG-2011-4260,55,104,2011-01-10,2011-01-12,Second Class,Africa,Africa,2,968.0,0.0,445.26,80.13,High,2011
105,HU-2011-1380,54,105,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,6,142.0,0.0,63.9,67.79,Critical,2011
106,HU-2011-1380,54,106,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,6,155.0,0.0,54.18,58.32,Critical,2011
107,HU-2011-1380,54,107,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,2,156.0,0.0,23.4,52.91,Critical,2011
108,AG-2011-1070,56,108,2011-01-10,2011-01-15,Second Class,Africa,Africa,1,309.0,0.0,61.71,31.41,Medium,2011
109,US-2011-101091,57,109,2011-01-10,2011-01-16,Standard Class,LATAM,South,3,425.0,0.402,-278.79024,26.72,Medium,2011
110,HU-2011-1380,54,110,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,2,53.0,0.0,0.0,16.06,Critical,2011
111,IT-2011-3659171,58,111,2011-01-10,2011-01-14,Standard Class,EU,North,3,206.0,0.5,-41.265,14.65,Medium,2011
112,HU-2011-1380,54,112,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,1,42.0,0.0,1.65,13.08,Critical,2011
113,MX-2011-140697,59,113,2011-01-10,2011-01-15,Standard Class,LATAM,North,3,114.0,0.0,56.88,8.93,Medium,2011
114,IN-2011-13065,60,114,2011-01-10,2011-01-11,First Class,APAC,North Asia,2,26.0,0.0,5.4,5.86,High,2011
115,IN-2011-61302,53,115,2011-01-10,2011-01-11,First Class,APAC,Oceania,4,30.0,0.1,12.096,5.54,Medium,2011
116,IN-2011-13065,60,116,2011-01-10,2011-01-11,First Class,APAC,North Asia,3,34.0,0.0,16.11,5.26,High,2011
117,HU-2011-1380,54,117,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,1,37.0,0.0,5.55,4.32,Critical,2011
118,IN-2011-61302,53,118,2011-01-10,2011-01-11,First Class,APAC,Oceania,6,162.0,0.1,53.694,3.02,Medium,2011
119,HU-2011-1380,54,119,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,1,11.0,0.0,2.61,2.59,Critical,2011
120,HU-2011-1380,54,120,2011-01-10,2011-01-10,Same Day,EMEA,EMEA,1,11.0,0.0,2.4,2.03,Critical,2011
121,SF-2011-6400,61,121,2011-01-10,2011-01-14,Standard Class,Africa,Africa,1,17.0,0.0,4.65,1.29,Medium,2011
122,CA-2011-135405,62,122,2011-01-10,2011-01-14,Standard Class,US,Central,3,31.0,0.2,9.75,1.13,Medium,2011
123,ID-2011-13660,63,123,2011-01-10,2011-01-15,Second Class,APAC,Southeast Asia,3,12.0,0.47,-5.6826,1.04,Medium,2011
124,MX-2011-140697,59,124,2011-01-10,2011-01-15,Standard Class,LATAM,North,1,16.0,0.0,1.76,0.89,Medium,2011
125,CA-2011-135405,62,125,2011-01-10,2011-01-14,Standard Class,US,Central,2,9.0,0.2,1.168,0.21,Medium,2011
126,ES-2011-5158390,64,126,2011-01-11,2011-01-11,Same Day,EU,North,3,,0.0,13.77,178.98,Medium,2011
127,US-2011-163874,65,127,2011-01-11,2011-01-12,First Class,LATAM,North,10,,0.0,238.0,103.84,Medium,2011
128,US-2011-163874,65,128,2011-01-11,2011-01-12,First Class,LATAM,North,5,452.0,0.2,-107.3,57.75,Medium,2011
129,IN-2011-39308,66,129,2011-01-11,2011-01-18,Standard Class,APAC,Southeast Asia,4,554.0,0.17,40.0536,42.43,Medium,2011
130,IN-2011-79761,67,130,2011-01-11,2011-01-16,Standard Class,APAC,Southeast Asia,3,697.0,0.35,-343.098,40.16,Medium,2011
131,US-2011-163874,65,131,2011-01-11,2011-01-12,First Class,LATAM,North,5,245.0,0.0,88.0,39.11,Medium,2011
132,IN-2011-39308,66,132,2011-01-11,2011-01-18,Standard Class,APAC,Southeast Asia,9,334.0,0.27,13.4703,23.56,Medium,2011
133,ES-2011-4359424,10,133,2011-01-11,2011-01-15,Standard Class,EU,South,2,268.0,0.6,-341.736,21.49,High,2011
134,ES-2011-5158390,64,134,2011-01-11,2011-01-11,Same Day,EU,North,2,103.0,0.0,19.5,20.54,Medium,2011
135,IN-2011-39308,66,135,2011-01-11,2011-01-18,Standard Class,APAC,Southeast Asia,5,188.0,0.27,2.4735,15.77,Medium,2011
136,IN-2011-29872,68,136,2011-01-11,2011-01-15,Standard Class,APAC,Central Asia,3,142.0,0.0,52.38,15.62,High,2011
137,TU-2011-800,69,137,2011-01-11,2011-01-15,Standard Class,EMEA,EMEA,2,157.0,0.6,-117.72,12.45,High,2011
138,ID-2011-82589,70,138,2011-01-11,2011-01-15,Standard Class,APAC,Oceania,4,115.0,0.4,-47.832,10.52,Medium,2011
139,ES-2011-1466305,35,139,2011-01-11,2011-01-15,Standard Class,EU,Central,2,97.0,0.0,31.02,7.99,High,2011
140,IN-2011-79761,67,140,2011-01-11,2011-01-16,Standard Class,APAC,Southeast Asia,2,78.0,0.25,23.775,7.09,Medium,2011
141,US-2011-163874,65,141,2011-01-11,2011-01-12,First Class,LATAM,North,3,140.0,0.0,32.1,6.47,Medium,2011
142,ES-2011-1466305,35,142,2011-01-11,2011-01-15,Standard Class,EU,Central,1,55.0,0.0,9.87,5.83,High,2011
143,CA-2011-149020,71,143,2011-01-11,2011-01-16,Standard Class,US,South,1,52.0,0.0,21.2954,3.52,Medium,2011
144,ES-2011-4359424,10,144,2011-01-11,2011-01-15,Standard Class,EU,South,5,40.0,0.0,5.55,2.57,High,2011
145,ES-2011-1138719,72,145,2011-01-11,2011-01-16,Standard Class,EU,South,3,22.0,0.0,6.75,1.09,Medium,2011
146,IN-2011-39308,66,146,2011-01-11,2011-01-18,Standard Class,APAC,Southeast Asia,1,5.0,0.17,-0.0147,0.3,Medium,2011
147,CA-2011-149020,71,147,2011-01-11,2011-01-16,Standard Class,US,South,1,3.0,0.0,1.3583,0.22,Medium,2011
148,MX-2011-141530,73,148,2011-01-12,2011-01-17,Standard Class,LATAM,North,3,495.0,0.0,178.2,54.55,Medium,2011
149,MX-2011-141530,73,149,2011-01-12,2011-01-17,Standard Class,LATAM,North,3,385.0,0.002,68.64852,38.19,Medium,2011
150,ES-2011-1460199,74,150,2011-01-12,2011-01-19,Standard Class,EU,Central,5,552.0,0.1,165.36,35.98,Medium,2011
151,ES-2011-1460199,74,151,2011-01-12,2011-01-19,Standard Class,EU,Central,2,522.0,0.0,20.88,28.92,Medium,2011
152,ES-2011-4976144,75,152,2011-01-12,2011-01-17,Standard Class,EU,North,5,290.0,0.0,69.6,18.63,Medium,2011
153,ES-2011-5040255,76,153,2011-01-12,2011-01-15,First Class,EU,North,2,34.0,0.5,-6.15,7.31,Medium,2011
154,ES-2011-1460199,74,134,2011-01-12,2011-01-19,Standard Class,EU,Central,5,257.0,0.0,48.75,7.28,Medium,2011
155,CA-2011-130092,77,154,2011-01-12,2011-01-15,First Class,US,East,2,10.0,0.0,3.0814,2.69,Critical,2011
156,ES-2011-1460199,74,155,2011-01-12,2011-01-19,Standard Class,EU,Central,2,17.0,0.0,6.18,2.08,Medium,2011
157,NI-2011-1670,78,156,2011-01-12,2011-01-16,Standard Class,Africa,Africa,2,15.0,0.7,-22.458,1.27,Medium,2011
158,NI-2011-1670,78,22,2011-01-12,2011-01-16,Standard Class,Africa,Africa,1,16.0,0.7,-28.518,1.27,Medium,2011
159,NI-2011-1670,78,157,2011-01-12,2011-01-16,Standard Class,Africa,Africa,4,13.0,0.7,-21.648,0.62,Medium,2011
160,NI-2011-1670,78,158,2011-01-12,2011-01-16,Standard Class,Africa,Africa,1,5.0,0.7,-10.326,0.43,Medium,2011
161,NI-2011-1670,78,159,2011-01-12,2011-01-16,Standard Class,Africa,Africa,1,3.0,0.7,-6.483,0.25,Medium,2011
162,NI-2011-1670,78,160,2011-01-12,2011-01-16,Standard Class,Africa,Africa,1,17.0,0.7,-26.649,0.24,Medium,2011
163,EG-2011-4270,79,161,2011-01-13,2011-01-18,Standard Class,Africa,Africa,4,794.0,0.0,134.88,76.6,Medium,2011
164,EG-2011-4270,79,162,2011-01-13,2011-01-18,Standard Class,Africa,Africa,4,,0.0,479.88,55.62,Medium,2011
165,MX-2011-150567,80,163,2011-01-13,2011-01-17,Standard Class,LATAM,North,1,201.0,0.0,100.62,31.78,High,2011
166,IT-2011-5340302,81,164,2011-01-13,2011-01-19,Standard Class,EU,Central,2,198.0,0.5,-130.98,14.53,Medium,2011
167,EG-2011-4270,79,165,2011-01-13,2011-01-18,Standard Class,Africa,Africa,2,38.0,0.0,17.22,2.66,Medium,2011
168,US-2011-105760,82,166,2011-01-13,2011-01-17,Standard Class,LATAM,South,5,26.0,0.4,-8.0,2.2,High,2011
169,IT-2011-5951216,83,167,2011-01-13,2011-01-20,Standard Class,EU,North,5,31.0,0.5,-13.65,2.16,Medium,2011
170,IT-2011-5340302,81,168,2011-01-13,2011-01-19,Standard Class,EU,Central,2,50.0,0.5,-37.86,1.51,Medium,2011
171,IT-2011-5340302,81,169,2011-01-13,2011-01-19,Standard Class,EU,Central,4,22.0,0.5,-12.3,1.29,Medium,2011
172,IN-2011-38349,84,170,2011-01-13,2011-01-17,Standard Class,APAC,Oceania,2,16.0,0.1,0.33,0.72,Medium,2011
173,IT-2011-5340302,81,171,2011-01-13,2011-01-19,Standard Class,EU,Central,3,9.0,0.5,-3.465,0.43,Medium,2011
174,CA-2011-157147,63,172,2011-01-14,2011-01-19,Standard Class,US,West,5,,0.0,238.653,187.65,High,2011
175,CA-2011-162775,85,173,2011-01-14,2011-01-16,Second Class,US,South,6,573.0,0.0,34.3548,146.29,Critical,2011
176,CA-2011-162775,85,174,2011-01-14,2011-01-16,Second Class,US,South,6,647.0,0.0,258.696,141.35,Critical,2011
177,ES-2011-1043483,86,175,2011-01-14,2011-01-19,Standard Class,EU,Central,3,486.0,0.0,77.67,53.02,High,2011
178,CA-2011-109232,87,176,2011-01-14,2011-01-17,Second Class,US,South,6,546.0,0.0,87.3504,52.32,Medium,2011
179,ES-2011-1043483,86,177,2011-01-14,2011-01-19,Standard Class,EU,Central,6,440.0,0.0,65.88,49.92,High,2011
180,CA-2011-157147,63,178,2011-01-14,2011-01-19,Standard Class,US,West,3,334.0,0.15,3.9294,40.44,High,2011
181,ES-2011-1043483,86,179,2011-01-14,2011-01-19,Standard Class,EU,Central,11,224.0,0.0,102.96,30.34,High,2011
182,MX-2011-135979,88,180,2011-01-14,2011-01-20,Standard Class,LATAM,Central,3,393.0,0.0,180.96,27.67,Medium,2011
183,MX-2011-168599,89,181,2011-01-14,2011-01-15,First Class,LATAM,North,4,106.0,0.0,18.96,26.23,High,2011
184,SF-2011-7680,90,119,2011-01-14,2011-01-21,Standard Class,Africa,Africa,12,136.0,0.0,31.32,23.89,Low,2011
185,CA-2011-162775,85,182,2011-01-14,2011-01-16,Second Class,US,South,3,51.0,0.0,25.47,12.66,Critical,2011
186,MX-2011-135979,88,183,2011-01-14,2011-01-20,Standard Class,LATAM,Central,12,246.0,0.0,7.2,11.88,Medium,2011
187,TU-2011-4040,91,184,2011-01-14,2011-01-18,Standard Class,EMEA,EMEA,2,110.0,0.6,-54.972,11.53,Medium,2011
188,ID-2011-16453,92,185,2011-01-14,2011-01-21,Standard Class,APAC,Southeast Asia,3,99.0,0.25,-23.7375,9.71,Low,2011
189,ID-2011-16453,92,186,2011-01-14,2011-01-21,Standard Class,APAC,Southeast Asia,3,80.0,0.45,5.742,9.43,Low,2011
190,MX-2011-135979,88,187,2011-01-14,2011-01-20,Standard Class,LATAM,Central,3,109.0,0.0,28.38,6.11,Medium,2011
191,TU-2011-4040,91,161,2011-01-14,2011-01-18,Standard Class,EMEA,EMEA,1,79.0,0.6,-85.332,5.84,Medium,2011
192,TU-2011-4040,91,188,2011-01-14,2011-01-18,Standard Class,EMEA,EMEA,4,74.0,0.6,-70.32,4.48,Medium,2011
193,MX-2011-135979,88,189,2011-01-14,2011-01-20,Standard Class,LATAM,Central,8,66.0,0.0,9.12,3.61,Medium,2011
194,CA-2011-157147,63,190,2011-01-14,2011-01-19,Standard Class,US,West,5,20.0,0.0,6.567,3.03,High,2011
195,CA-2011-162775,85,191,2011-01-14,2011-01-16,Second Class,US,South,2,11.0,0.0,5.3392,2.88,Critical,2011
196,CA-2011-118192,93,192,2011-01-14,2011-01-19,Standard Class,US,East,7,37.0,0.2,13.0928,1.46,Medium,2011
197,CA-2011-162775,85,193,2011-01-14,2011-01-16,Second Class,US,South,3,6.0,0.0,2.7072,0.85,Critical,2011
198,TU-2011-4040,91,194,2011-01-14,2011-01-18,Standard Class,EMEA,EMEA,4,79.0,0.6,-87.168,0.43,Medium,2011
199,CA-2011-118192,93,195,2011-01-14,2011-01-19,Standard Class,US,East,2,3.0,0.7,-2.5212,0.27,Medium,2011
200,ES-2011-3661686,94,196,2011-01-15,2011-01-20,Second Class,EU,Central,2,527.0,0.0,10.5,92.1,Medium,2011
201,ES-2011-1374122,95,197,2011-01-15,2011-01-18,First Class,EU,Central,2,652.0,0.1,7.2,88.52,Medium,2011
202,MX-2011-129420,96,198,2011-01-15,2011-01-17,First Class,LATAM,Caribbean,3,265.0,0.2,23.22,43.56,Medium,2011
203,ID-2011-38832,97,199,2011-01-15,2011-01-15,Same Day,APAC,Southeast Asia,4,150.0,0.27,-49.3488,21.15,Critical,2011
204,ID-2011-38832,97,200,2011-01-15,2011-01-15,Same Day,APAC,Southeast Asia,3,51.0,0.27,-0.0126,21.13,Critical,2011
205,ES-2011-3661686,94,201,2011-01-15,2011-01-20,Second Class,EU,Central,1,249.0,0.1,2.76,15.08,Medium,2011
