product_key,product_id,product_name,category,sub_category
60,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders
61,TEC-PH-10004977,GE 30524EE4,Technology,Phones
62,OFF-ELD-10001694,"Eldon File Cart, Single Width",Office Supplies,Storage
63,TEC-MA-10000868,"Panasonic Phone, Wireless",Technology,Machines
64,TEC-AC-10003413,"Logitech Router, Programmable",Technology,Accessories
65,OFF-ST-10004855,"Smead Lockers, Industrial",Office Supplies,Storage
66,TEC-MA-10004482,"Panasonic Card Printer, White",Technology,Machines
67,TEC-HP -10000464,"HP Fax and Copier, Color",Technology,Copiers
68,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones
69,OFF-STA-10004885,"Stanley Sketch Pad, Easy-Erase",Office Supplies,Art
70,OFF-FA-10002071,"Accos Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners
71,FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Furniture,Bookcases
72,OFF-PA-10002005,Xerox 225,Office Supplies,Paper
73,OFF-STA-10000244,"Stanley Sketch Pad, Fluorescent",Office Supplies,Art
74,OFF-FA-10001871,"Stockwell Rubber Bands, Bulk Pack",Office Supplies,Fasteners
75,OFF-BI-10000136,"Ibico Index Tab, Durable",Office Supplies,Binders
76,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art
77,OFF-AR-10003684,"BIC Sketch Pad, Fluorescent",Office Supplies,Art
78,FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings
79,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners
80,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper
81,OFF-LA-10002875,"Novimex Shipping Labels, Adjustable",Office Supplies,Labels
82,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art
83,OFF-AR-10000316,"Stanley Pens, Blue",Office Supplies,Art
84,FUR-IKE-10001539,"Ikea Classic Bookcase, Pine",Furniture,Bookcases
85,TEC-MA-10002468,"Panasonic Inkjet, White",Technology,Machines
86,FUR-BO-10003103,"Ikea Classic Bookcase, Metal",Furniture,Bookcases
87,OFF-ST-10002471,"Smead Lockers, Single Width",Office Supplies,Storage
88,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings
89,OFF-BI-10002937,"Wilson Jones Binder Covers, Clear",Office Supplies,Binders
90,OFF-AR-10000110,"Binney & Smith Sketch Pad, Blue",Office Supplies,Art
91,OFF-AVE-10000608,"Avery Index Tab, Economy",Office Supplies,Binders
92,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders
93,TEC-PH-10001730,"Motorola Signal Booster, Full Size",Technology,Phones
94,TEC-AC-10000354,"Belkin Numeric Keypad, USB",Technology,Accessories
95,OFF-ST-10001342,"Fellowes Trays, Blue",Office Supplies,Storage
96,TEC-PH-10003823,"Apple Headset, Full Size",Technology,Phones
97,OFF-FA-10000577,"Stockwell Push Pins, 12 Pack",Office Supplies,Fasteners
98,OFF-LA-10000668,"Smead Removable Labels, Adjustable",Office Supplies,Labels
99,OFF-PA-10003405,"Green Bar Memo Slips, Premium",Office Supplies,Paper
100,OFF-BI-10003874,"Avery Index Tab, Clear",Office Supplies,Binders
101,TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Technology,Phones
102,FUR-IKE-10002894,"Ikea Library with Doors, Traditional",Furniture,Bookcases
103,TEC-CAN-10004354,"Canon Ink, Laser",Technology,Copiers
104,FUR-CHR-10004803,"Chromcraft Wood Table, Fully Assembled",Furniture,Tables
105,OFF-SAN-10003226,"SanDisk Message Books, Recycled",Office Supplies,Paper
106,OFF-SAN-10000874,"Sanford Pencil Sharpener, Fluorescent",Office Supplies,Art
107,TEC-EPS-10000774,"Epson Phone, Red",Technology,Machines
108,OFF-HOO-10001783,"Hoover Microwave, Red",Office Supplies,Appliances
109,TEC-CO-10001818,"Sharp Wireless Fax, Digital",Technology,Copiers
110,OFF-EAT-10002068,"Eaton Note Cards, Premium",Office Supplies,Paper
111,OFF-ST-10004695,"Fellowes File Cart, Blue",Office Supplies,Storage
112,OFF-CAM-10001249,"Cameo Mailers, with clear poly window",Office Supplies,Envelopes
113,OFF-ST-10002251,"Fellowes Shelving, Wire Frame",Office Supplies,Storage
114,OFF-SU-10003559,"Kleencut Ruler, Steel",Office Supplies,Supplies
115,OFF-LA-10000879,"Hon File Folder Labels, Alphabetical",Office Supplies,Labels
116,OFF-BI-10002853,"Avery Binder Covers, Recycled",Office Supplies,Binders
117,TEC-STA-10000546,"StarTech Calculator, Red",Technology,Machines
118,OFF-PA-10003731,"Enermax Note Cards, Premium",Office Supplies,Paper
119,OFF-SAN-10001128,"Sanford Pens, Easy-Erase",Office Supplies,Art
120,OFF-AVE-10000357,"Avery Binder Covers, Clear",Office Supplies,Binders
121,OFF-ACC-10003422,"Acco Binder, Durable",Office Supplies,Binders
122,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories
123,OFF-FA-10003615,"Stockwell Staples, Assorted Sizes",Office Supplies,Fasteners
124,OFF-SU-10003739,"Elite Scissors, Easy Grip",Office Supplies,Supplies
125,OFF-AR-10004078,Newell 312,Office Supplies,Art
126,FUR-CH-10004255,"SAFCO Executive Leather Armchair, Red",Furniture,Chairs
127,OFF-ST-10003741,"Smead Lockers, Blue",Office Supplies,Storage
128,FUR-BO-10002214,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases
129,TEC-PH-10002806,"Apple Audio Dock, VoIP",Technology,Phones
130,TEC-CO-10001895,"Sharp Wireless Fax, Color",Technology,Copiers
131,TEC-PH-10002755,"Apple Headset, VoIP",Technology,Phones
132,OFF-AR-10003613,"Sanford Canvas, Easy-Erase",Office Supplies,Art
133,FUR-TA-10001693,"Bevis Training Table, with Bottom Storage",Furniture,Tables
134,OFF-AR-10001599,"Binney & Smith Canvas, Blue",Office Supplies,Art
135,FUR-FU-10001096,"Advantus Clock, Black",Furniture,Furnishings
136,FUR-FU-10001471,"Eldon Door Stop, Durable",Furniture,Furnishings
137,FUR-SAF-10003540,"Safco Floating Shelf Set, Metal",Furniture,Bookcases
138,OFF-EN-10000128,"GlobeWeis Interoffice Envelope, Set of 50",Office Supplies,Envelopes
139,OFF-ST-10003446,"Smead Trays, Single Width",Office Supplies,Storage
140,FUR-FU-10000256,"Rubbermaid Photo Frame, Duo Pack",Furniture,Furnishings
141,OFF-AP-10000569,"KitchenAid Coffee Grinder, Black",Office Supplies,Appliances
142,OFF-AR-10004519,"Boston Canvas, Fluorescent",Office Supplies,Art
143,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings
144,OFF-LA-10002733,"Novimex File Folder Labels, Alphabetical",Office Supplies,Labels
145,OFF-BI-10001833,"Ibico Hole Reinforcements, Recycled",Office Supplies,Binders
146,OFF-BI-10004334,"Avery Hole Reinforcements, Durable",Office Supplies,Binders
147,OFF-LA-10004272,Avery 482,Office Supplies,Labels
148,TEC-AC-10004743,"Logitech Router, USB",Technology,Accessories
149,TEC-CO-10003142,"Hewlett Fax and Copier, Laser",Technology,Copiers
150,FUR-BO-10004080,"Ikea Stackable Bookrack, Traditional",Furniture,Bookcases
151,TEC-MA-10003078,"Epson Printer, White",Technology,Machines
152,FUR-CH-10000745,"Hon Chairmat, Adjustable",Furniture,Chairs
153,OFF-PA-10000450,"Green Bar Note Cards, Multicolor",Office Supplies,Paper
154,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings
155,OFF-BI-10000081,"Ibico Index Tab, Clear",Office Supplies,Binders
156,OFF-FEL-10001792,"Fellowes Folders, Wire Frame",Office Supplies,Storage
157,OFF-AVE-10000065,"Avery Removable Labels, Alphabetical",Office Supplies,Labels
158,OFF-KLE-10001317,"Kleencut Ruler, Easy Grip",Office Supplies,Supplies
159,OFF-ADV-10003030,"Advantus Staples, 12 Pack",Office Supplies,Fasteners
160,OFF-FEL-10003848,"Fellowes Trays, Industrial",Office Supplies,Storage
161,OFF-SME-10004553,"Smead Lockers, Blue",Office Supplies,Storage
162,TEC-HP -10001574,"HP Fax Machine, Laser",Technology,Copiers
163,TEC-MA-10000560,"StarTech Inkjet, Wireless",Technology,Machines
164,OFF-ST-10002506,"Smead Lockers, Blue",Office Supplies,Storage
165,OFF-FEL-10001343,"Fellowes Box, Wire Frame",Office Supplies,Storage
166,OFF-SU-10001794,"Elite Ruler, Steel",Office Supplies,Supplies
167,OFF-AR-10004884,"Sanford Pens, Fluorescent",Office Supplies,Art
168,OFF-PA-10002040,"Green Bar Cards & Envelopes, Multicolor",Office Supplies,Paper
169,OFF-LA-10002353,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",Office Supplies,Labels
170,OFF-LA-10002765,"Harbour Creations Legal Exhibit Labels, Adjustable",Office Supplies,Labels
171,OFF-BI-10001055,"Wilson Jones Hole Reinforcements, Durable",Office Supplies,Binders
172,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage
173,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage
174,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Technology,Accessories
175,TEC-MA-10002918,"StarTech Card Printer, White",Technology,Machines
176,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs
177,TEC-PH-10003847,"Apple Headset, with Caller ID",Technology,Phones
178,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases
179,OFF-PA-10001650,"Xerox Message Books, Premium",Office Supplies,Paper
180,FUR-BO-10001295,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases
181,OFF-EN-10004870,"Jiffy Mailers, Security-Tint",Office Supplies,Envelopes
182,OFF-EN-10001532,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes
183,OFF-PA-10004155,"Eaton Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
184,OFF-FEL-10001261,"Fellowes File Cart, Blue",Office Supplies,Storage
185,FUR-FU-10000944,"Tenex Door Stop, Black",Furniture,Furnishings
186,OFF-ST-10004015,"Smead Trays, Blue",Office Supplies,Storage
187,OFF-ST-10001326,"Tenex Shelving, Single Width",Office Supplies,Storage
188,OFF-ACM-10003278,"Acme Trimmer, Easy Grip",Office Supplies,Supplies
189,OFF-BI-10000185,"Cardinal Binder Covers, Recycled",Office Supplies,Binders
190,OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art
191,OFF-EN-10001990,Staples,Office Supplies,Envelopes
192,OFF-PA-10002947,Xerox 1923,Office Supplies,Paper
193,OFF-BI-10004187,Staples,Office Supplies,Binders
194,OFF-STA-10000298,"Stanley Canvas, Blue",Office Supplies,Art
195,OFF-BI-10003476,Avery Metallic Poly Binders,Office Supplies,Binders
196,TEC-CO-10003228,"Hewlett Copy Machine, Laser",Technology,Copiers
197,FUR-BO-10003126,"Dania Library with Doors, Traditional",Furniture,Bookcases
198,FUR-CH-10003485,"Hon Swivel Stool, Set of Two",Furniture,Chairs
199,OFF-AR-10000989,"Binney & Smith Canvas, Blue",Office Supplies,Art
200,OFF-AR-10000251,"Stanley Markers, Fluorescent",Office Supplies,Art
201,OFF-AP-10001169,"Cuisinart Microwave, White",Office Supplies,Appliances
202,FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases
203,OFF-PA-10001869,"Green Bar Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
204,OFF-SU-10004244,"Elite Letter Opener, Easy Grip",Office Supplies,Supplies
205,FUR-HAR-10000441,"Harbour Creations Rocking Chair, Adjustable",Furniture,Chairs
206,OFF-SAN-10004232,"Sanford Markers, Fluorescent",Office Supplies,Art
207,OFF-LA-10000134,"Harbour Creations Removable Labels, 5000 Label Set",Office Supplies,Labels
208,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories
209,OFF-AR-10001230,"Binney & Smith Markers, Water Color",Office Supplies,Art
210,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings
211,TEC-PH-10004614,AT&T 841000 Phone,Technology,Phones
212,OFF-LA-10001074,Round Specialty Laser Printer Labels,Office Supplies,Labels
213,OFF-ST-10001646,"Fellowes Box, Wire Frame",Office Supplies,Storage
214,OFF-ST-10000988,"Fellowes Folders, Blue",Office Supplies,Storage
215,OFF-ST-10003764,"Tenex Box, Industrial",Office Supplies,Storage
216,OFF-BI-10001397,"Ibico Binder, Economy",Office Supplies,Binders
217,OFF-BI-10001575,GBC Linen Binding Covers,Office Supplies,Binders
218,OFF-AR-10004138,"Stanley Pens, Easy-Erase",Office Supplies,Art
219,OFF-LA-10001413,"Hon Shipping Labels, Laser Printer Compatible",Office Supplies,Labels
220,OFF-FEL-10004665,"Fellowes Lockers, Blue",Office Supplies,Storage
221,OFF-FA-10000856,"Stockwell Thumb Tacks, Bulk Pack",Office Supplies,Fasteners
222,OFF-FA-10002268,"OIC Clamps, 12 Pack",Office Supplies,Fasteners
223,OFF-BI-10004446,"Acco Binding Machine, Economy",Office Supplies,Binders
224,OFF-CAR-10003259,"Cardinal Binder, Recycled",Office Supplies,Binders
225,OFF-BIN-10000772,"Binney & Smith Pencil Sharpener, Water Color",Office Supplies,Art
226,OFF-BI-10004195,"Wilson Jones Binding Machine, Clear",Office Supplies,Binders
227,TEC-MA-10001859,"Okidata Printer, Wireless",Technology,Machines
228,FUR-BO-10004407,"Ikea Floating Shelf Set, Metal",Furniture,Bookcases
229,TEC-CO-10004267,"Brother Ink, Laser",Technology,Copiers
230,TEC-BEL-10000681,"Belkin Mouse, USB",Technology,Accessories
231,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances
232,TEC-AC-10002370,"SanDisk Flash Drive, Bluetooth",Technology,Accessories
233,OFF-EN-10004150,"GlobeWeis Business Envelopes, Recycled",Office Supplies,Envelopes
234,OFF-STO-10000347,"Stockwell Clamps, Assorted Sizes",Office Supplies,Fasteners
235,FUR-BUS-10002989,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
236,OFF-AP-10002433,"Cuisinart Microwave, Silver",Office Supplies,Appliances
237,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases
238,FUR-OFF-10002395,"Office Star Rocking Chair, Red",Furniture,Chairs
239,FUR-BO-10004980,"Bush Library with Doors, Mobile",Furniture,Bookcases
240,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper
241,OFF-SME-10002417,"Smead Trays, Single Width",Office Supplies,Storage
242,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
243,OFF-AR-10002094,"Boston Pencil Sharpener, Water Color",Office Supplies,Art
244,OFF-ELD-10000124,"Eldon Trays, Single Width",Office Supplies,Storage
245,OFF-GRE-10000216,"Green Bar Note Cards, Premium",Office Supplies,Paper
246,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders
247,OFF-FEL-10002399,"Fellowes Box, Blue",Office Supplies,Storage
248,OFF-NOV-10000512,"Novimex Color Coded Labels, Adjustable",Office Supplies,Labels
249,OFF-NOV-10001568,"Novimex Shipping Labels, 5000 Label Set",Office Supplies,Labels
250,FUR-TA-10001285,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
251,OFF-FEL-10002867,"Fellowes Lockers, Single Width",Office Supplies,Storage
252,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs
253,TEC-PH-10001061,Apple iPhone 5C,Technology,Phones
254,TEC-PH-10000990,"Cisco Signal Booster, with Caller ID",Technology,Phones
255,FUR-OFF-10003688,"Office Star Rocking Chair, Black",Furniture,Chairs
256,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings
257,TEC-PH-10003980,"Apple Signal Booster, VoIP",Technology,Phones
258,TEC-AC-10004070,"Memorex Router, Programmable",Technology,Accessories
259,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
260,OFF-SU-10004480,"Fiskars Box Cutter, Serrated",Office Supplies,Supplies
261,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage
262,OFF-FIS-10001591,"Fiskars Trimmer, High Speed",Office Supplies,Supplies
263,OFF-BI-10001002,"Avery Binder Covers, Recycled",Office Supplies,Binders
264,OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art
265,OFF-ROG-10001101,"Rogers Shelving, Wire Frame",Office Supplies,Storage
266,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders
267,OFF-EN-10001539,Staples,Office Supplies,Envelopes
268,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
269,OFF-AR-10003110,"Sanford Sketch Pad, Water Color",Office Supplies,Art
270,OFF-BI-10004364,Storex Dura Pro Binders,Office Supplies,Binders
271,OFF-CAM-10000497,"Cameo Manila Envelope, Set of 50",Office Supplies,Envelopes
272,OFF-BI-10002296,"Acco Binder Covers, Economy",Office Supplies,Binders
273,OFF-AR-10002375,Newell 351,Office Supplies,Art
274,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders
275,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
276,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper
277,FUR-FU-10002268,Ultra Door Push Plate,Furniture,Furnishings
278,OFF-AR-10003811,Newell 327,Office Supplies,Art
279,OFF-ST-10003102,"Rogers Lockers, Single Width",Office Supplies,Storage
280,FUR-BO-10003991,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
281,OFF-ST-10000430,"Tenex File Cart, Blue",Office Supplies,Storage
282,OFF-AR-10000751,"Binney & Smith Highlighters, Blue",Office Supplies,Art
283,OFF-SME-10001652,"Smead Trays, Wire Frame",Office Supplies,Storage
284,OFF-BI-10000538,"Acco Binding Machine, Clear",Office Supplies,Binders
285,FUR-BO-10003112,"Sauder Floating Shelf Set, Traditional",Furniture,Bookcases
286,FUR-CH-10003392,"Novimex Steel Folding Chair, Red",Furniture,Chairs
287,TEC-AC-10003047,"SanDisk Keyboard, USB",Technology,Accessories
288,OFF-AR-10001190,"Boston Canvas, Easy-Erase",Office Supplies,Art
289,TEC-PH-10004827,"Samsung Headset, Cordless",Technology,Phones
290,FUR-FU-10001889,Ultra Door Pull Handle,Furniture,Furnishings
291,FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings
292,OFF-FA-10003816,"Stockwell Staples, Metal",Office Supplies,Fasteners
293,OFF-BI-10004722,"Avery Index Tab, Clear",Office Supplies,Binders
294,FUR-BO-10001739,"Dania Classic Bookcase, Mobile",Furniture,Bookcases
295,FUR-CH-10001490,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
296,OFF-SU-10002670,"Stiletto Box Cutter, High Speed",Office Supplies,Supplies
297,OFF-LA-10001634,"Harbour Creations Color Coded Labels, Laser Printer Compatible",Office Supplies,Labels
298,OFF-PA-10001456,"Eaton Memo Slips, 8.5 x 11",Office Supplies,Paper
299,OFF-OIC-10001921,"OIC Clamps, Assorted Sizes",Office Supplies,Fasteners
300,OFF-IBI-10002486,"Ibico Index Tab, Clear",Office Supplies,Binders
301,TEC-CIS-10002344,"Cisco Smart Phone, Full Size",Technology,Phones
302,OFF-BRE-10004436,"Breville Stove, Black",Office Supplies,Appliances
303,TEC-CO-10004078,"Sharp Fax Machine, Laser",Technology,Copiers
304,FUR-CH-10004685,"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs
305,OFF-EN-10003770,"Kraft Manila Envelope, with clear poly window",Office Supplies,Envelopes
306,FUR-FU-10000702,"Tenex Frame, Black",Furniture,Furnishings
307,FUR-HON-10000722,"Hon Rocking Chair, Adjustable",Furniture,Chairs
308,FUR-CH-10003540,"Office Star Bag Chairs, Set of Two",Furniture,Chairs
309,OFF-AR-10000340,"Boston Pens, Water Color",Office Supplies,Art
310,OFF-PA-10003899,"SanDisk Memo Slips, Multicolor",Office Supplies,Paper
311,TEC-AC-10001438,"SanDisk Flash Drive, Programmable",Technology,Accessories
312,OFF-FA-10004310,"Advantus Staples, 12 Pack",Office Supplies,Fasteners
313,OFF-LA-10004007,"Harbour Creations Color Coded Labels, Adjustable",Office Supplies,Labels
314,OFF-PA-10001804,Xerox 195,Office Supplies,Paper
315,OFF-LA-10004430,"Avery Shipping Labels, Laser Printer Compatible",Office Supplies,Labels
316,OFF-AVE-10003558,"Avery Round Labels, Alphabetical",Office Supplies,Labels
317,OFF-AR-10003005,"Boston Markers, Fluorescent",Office Supplies,Art
318,OFF-BI-10002885,"Avery Hole Reinforcements, Recycled",Office Supplies,Binders
319,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners
320,OFF-OIC-10001056,"OIC Clamps, 12 Pack",Office Supplies,Fasteners
321,OFF-BI-10002986,"Avery Binder Covers, Recycled",Office Supplies,Binders
322,OFF-AR-10001720,"Stanley Canvas, Blue",Office Supplies,Art
323,TEC-PAN-10002454,"Panasonic Phone, Red",Technology,Machines
324,OFF-AR-10001228,"Stanley Markers, Water Color",Office Supplies,Art
325,OFF-BI-10001192,"Cardinal Binder, Clear",Office Supplies,Binders
326,OFF-AR-10002640,"Boston Pens, Blue",Office Supplies,Art
327,OFF-EN-10004525,"GlobeWeis Peel and Seal, Security-Tint",Office Supplies,Envelopes
328,OFF-PA-10000453,"Xerox Cards & Envelopes, 8.5 x 11",Office Supplies,Paper
329,OFF-PA-10001091,"Eaton Computer Printout Paper, Recycled",Office Supplies,Paper
330,FUR-FU-10004689,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings
331,OFF-BIN-10001385,"Binney & Smith Pens, Fluorescent",Office Supplies,Art
332,FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
333,FUR-SAF-10004252,"SAFCO Executive Leather Armchair, Adjustable",Furniture,Chairs
334,TEC-CO-10001926,"Hewlett Wireless Fax, Laser",Technology,Copiers
335,TEC-KON-10003211,"Konica Inkjet, White",Technology,Machines
